,lat,lon,max_temp,humidity,wind_speed,cloudiness,country,date,name
0,-34.7333,135.8667,62.87,54,15.37,100,AU,1665364935,Port Lincoln
1,4.7717,33.5903,73.13,72,2.93,100,SS,1665364935,Kapoeta
2,5.8933,95.3214,80.69,77,10.58,100,ID,1665364936,Sabang
3,-46.1927,168.8643,58.23,60,5.37,100,NZ,1665364936,Mataura
4,60.7333,77.5889,36.73,93,7.11,100,RU,1665364936,Strezhevoy
5,28.017,-97.5169,78.93,60,11.45,5,US,1665364937,San Patricio
6,70.6333,147.9167,22.03,92,12.62,100,RU,1665364937,Chokurdakh
7,77.484,-69.3632,7.47,71,7.61,16,GL,1665364937,Qaanaaq
8,-37.6167,-73.65,49.15,83,22.44,0,CL,1665364938,Lebu
9,42.6001,-73.9662,49.59,80,4.32,8,US,1665364798,Albany
10,42.5011,22.4724,50.43,84,1.68,49,RS,1665364938,Bosilegrad
11,-42.7826,147.0587,55.29,54,3.0,99,AU,1665364939,New Norfolk
12,-15.1961,12.1522,66.15,90,4.36,27,AO,1665364939,Mossamedes
13,62.456,-114.3525,46.92,87,6.91,40,CA,1665364745,Yellowknife
14,57.79,-152.4072,51.31,32,12.66,0,US,1665364939,Saint Paul Harbor
15,-54.8,-68.3,44.26,76,2.3,75,AR,1665364940,Ushuaia
16,-20.3428,57.7575,70.05,78,11.5,20,MU,1665364940,Bambous Virieux
17,-38.0023,-57.5575,46.33,75,5.99,0,AR,1665364941,Mar del Plata
18,-21.2,-175.2,74.46,83,6.89,100,TO,1665364941,Vaini
19,-33.65,115.3333,57.22,64,21.85,49,AU,1665364942,Busselton
20,-27.7951,-64.2615,61.54,20,10.87,0,AR,1665364942,Santiago del Estero
21,14.5167,75.8,72.36,92,2.66,100,IN,1665364942,Harihar
22,17.3333,42.6667,81.54,70,4.81,0,SA,1665364943,Jizan
23,-33.9258,18.4232,62.58,75,9.22,0,ZA,1665364943,Cape Town
24,63.7506,-68.5145,27.7,86,12.66,75,CA,1665364911,Iqaluit
25,51.5877,-2.9984,55.42,90,8.7,98,GB,1665364943,Newport
26,69.4541,-133.0374,35.6,93,8.05,100,CA,1665364944,Tuktoyaktuk
27,-0.7393,-90.3518,66.54,89,8.01,100,EC,1665364944,Puerto Ayora
28,69.2167,-51.1,21.22,58,8.05,75,GL,1665364779,Ilulissat
29,32.6667,-17.1,68.5,69,3.13,22,PT,1665364945,Ponta do Sol
30,-27.6146,-48.5012,57.63,70,10.36,75,BR,1665364945,Florianópolis
31,-42.8794,147.3294,61.29,56,11.5,75,AU,1665364819,Hobart
32,40.4272,71.7189,52.52,50,6.91,32,UZ,1665364945,Yangi Marg`ilon
33,42.3414,78.0056,43.92,71,2.15,19,KG,1665364946,Kyzyl-Suu
34,-12.486,130.9833,89.46,66,5.75,75,AU,1665364946,Palmerston
35,39.6367,141.9525,66.47,99,11.9,100,JP,1665364868,Miyako
36,54.95,-7.7333,48.97,76,13.69,11,IE,1665364947,Letterkenny
37,69.7008,170.3133,26.13,73,23.17,100,RU,1665364947,Pevek
38,-34.5322,20.0403,60.62,97,11.7,100,ZA,1665364947,Bredasdorp
39,71.9667,102.5,1.44,98,4.23,30,RU,1665364948,Khatanga
40,37.7799,-121.978,68.86,62,10.36,0,US,1665364701,San Ramon
41,35.7333,140.8333,64.8,88,22.97,96,JP,1665364948,Hasaki
42,22.0752,-159.319,82.06,67,8.05,20,US,1665364948,Kapaa
43,-34.4187,19.2345,61.81,92,13.71,100,ZA,1665364949,Hermanus
44,-33.5906,26.891,64.06,86,10.8,89,ZA,1665364949,Port Alfred
45,-9.8,-139.0333,76.68,70,17.78,12,PF,1665364949,Atuona
46,55.9175,21.0686,53.62,76,5.75,40,LT,1665364950,Palanga
47,10.6667,125.05,86.16,65,1.95,42,PH,1665364950,Abuyog
48,-53.15,-70.9167,50.11,57,36.82,75,CL,1665364950,Punta Arenas
49,66.8333,70.8333,39.88,92,9.26,100,RU,1665364951,Yar-Sale
50,28.4769,-82.5255,75.94,77,3.44,20,US,1665364839,Spring Hill
51,-26.0217,22.401,72.01,19,10.54,0,BW,1665364951,Tsabong
52,-3.5534,143.6268,85.12,67,7.23,60,PG,1665364951,Wewak
53,67.45,153.6833,22.84,65,12.44,99,RU,1665364952,Srednekolymsk
54,56.4773,57.7259,45.93,85,10.0,100,RU,1665364952,Sarana
55,-31.6333,-60.7,58.55,46,1.01,0,AR,1665364852,Santa Fe
56,-24.8667,113.6333,67.91,62,21.32,91,AU,1665364952,Carnarvon
57,-20.3297,-40.2925,75.15,88,6.91,20,BR,1665364953,Vila Velha
58,-21.2078,-159.775,75.25,73,17.27,75,CK,1665364953,Avarua
59,66.0449,-17.3389,33.48,98,39.75,100,IS,1665364953,Husavik
60,-19.55,169.2667,82.51,78,11.5,75,VU,1665364954,Isangel
61,-38.2667,141.9667,59.11,62,6.58,6,AU,1665364954,Codrington
62,-34.4833,-54.3333,42.6,78,2.91,0,UY,1665364954,Rocha
63,-20.5167,57.5167,70.18,78,11.5,20,MU,1665364955,Souillac
64,-28.55,16.4333,58.66,88,3.29,100,NA,1665364955,Oranjemund
65,47.6666,-52.7314,44.74,90,10.36,20,CA,1665364955,Torbay
66,73.5069,80.5464,34.18,98,20.71,100,RU,1665364956,Dikson
67,14.8961,-24.4956,78.12,75,5.79,18,CV,1665364956,São Filipe
68,38.5167,-28.7,70.77,88,3.0,5,PT,1665364956,Ribeira Grande
69,-21.6403,-41.0511,73.49,86,17.05,100,BR,1665364956,São João da Barra
70,-18.95,-57.8,63.46,62,6.67,9,BO,1665364957,Puerto Suárez
71,-8.9266,125.4092,72.75,52,3.24,100,TL,1665364957,Airai
72,35.405,116.5814,52.39,29,7.67,0,CN,1665364957,Jining
73,-33.0153,27.9116,65.14,75,8.08,99,ZA,1665364958,East London
74,19.7297,-155.09,81.57,78,9.22,75,US,1665364958,Hilo
75,50.9294,21.3853,41.09,87,4.32,0,PL,1665364958,Ostrowiec Świętokrzyski
76,14.5333,20.9167,82.17,54,2.57,39,TD,1665364958,Biltine
77,-46.6,168.3333,57.38,62,13.49,100,NZ,1665364959,Bluff
78,-17.7125,-39.2481,75.34,82,6.55,0,BR,1665364959,Caravelas
79,12.9983,8.9099,82.71,26,5.75,15,NE,1665364959,Magaria
80,-23.7,133.8833,72.95,18,10.36,11,AU,1665364960,Alice Springs
81,51.65,-103.5343,48.22,47,8.28,4,CA,1665364960,Foam Lake
82,-21.3585,55.7679,67.59,79,10.13,35,RE,1665364960,Saint-Philippe
83,27.9167,96.1667,72.46,98,2.59,99,IN,1665364961,Tezu
84,61.6886,27.2723,35.71,93,2.3,0,FI,1665364961,Mikkeli
85,5.4112,100.3354,80.62,85,6.91,20,MY,1665364855,George Town
86,65.282,-126.8329,53.64,62,8.05,75,CA,1665364961,Norman Wells
87,49.9333,116.8667,36.27,40,6.98,10,RU,1665364962,Dauriya
88,44.3334,-76.1661,49.26,74,7.58,70,CA,1665364962,Gananoque
89,10.2849,22.7882,70.59,86,3.78,24,CF,1665364962,Birao
90,-0.6,73.0833,80.69,77,15.68,100,MV,1665364963,Hithadhoo
91,29.5958,-90.7195,66.78,65,0.0,0,US,1665364294,Houma
92,3.0707,172.7902,81.46,76,13.69,27,KI,1665364963,Butaritari
93,14.2,24.6667,74.39,26,9.08,70,SD,1665364963,Kutum
94,-34.6833,150.8667,59.45,65,4.97,98,AU,1665364964,Kiama
95,40.5982,-124.1573,53.71,88,6.91,100,US,1665364843,Fortuna
96,-26.152,26.1597,63.73,37,7.72,49,ZA,1665364964,Lichtenburg
97,50.3643,108.7512,34.77,38,3.53,4,RU,1665364964,Krasnyy Chikoy
98,59.7035,30.7861,40.91,96,5.23,9,RU,1665364965,Nikolskoye
99,-23.1203,-134.9692,71.55,73,13.82,1,PF,1665364965,Rikitea
100,65.75,150.85,16.39,78,10.16,100,RU,1665364965,Zyryanka
101,-33.6971,-53.4616,45.77,76,4.94,0,UY,1665364966,Chui
102,-33.8667,121.9,58.66,81,12.44,89,AU,1665364900,Esperance
